MUNICIPALIDAD,DEPARTAMENTO,ZONA GEOGRAFICA,POBLACION,PIA,PIM,AVANCE %,DEVENGADO
080501-300716: MUNICIPALIDAD PROVINCIAL DE CANAS - YANAOCA,CUSCO ,PROVINCIA,"34,754",0,"1,181,317",73.70,"871,209"
080907-300754: MUNICIPALIDAD DISTRITAL DE QUIMBIRI,CUSCO ,DISTRITO,"19,099","2,107,230","2,000,256",73.60,"1,471,261"
130107-301133: MUNICIPALIDAD DISTRITAL DE MOCHE,LA LIBERTAD,DISTRITO,"42,798","50,961","4,384,517",73.20,"3,207,541"
021601-300210: MUNICIPALIDAD PROVINCIAL DE POMABAMBA,ANCASH,PROVINCIA,"26,675","715,142","2,201,206",73.10,"1,607,987"
081210-300782: MUNICIPALIDAD DISTRITAL DE OCONGATE,CUSCO ,DISTRITO,"18,587","1,500,000","2,527,952",73.00,"1,844,239"
180201-301487: MUNICIPALIDAD PROVINCIAL DE SANCHEZ CERRO - OMATE,MOQUEGUA,PROVINCIA,"14,865",0,"1,416,224",72.90,"1,032,840"
030213-300272: MUNICIPALIDAD DISTRITAL DE SAN JERONIMO,APURIMAC,DISTRITO,"22,241","432,151","2,212,922",70.80,"1,566,803"
081212-300784: MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,CUSCO ,DISTRITO,"11,856",0,"1,467,435",69.10,"1,013,438"
130902-301190: MUNICIPALIDAD DISTRITAL DE CHUGAY,LA LIBERTAD,DISTRITO,"19,344",0,"1,807,908",66.70,"1,205,072"
050101-300440: MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,PROVINCIA,"317,801","361,110","437,071",65.40,"285,779"
080910-300757: MUNICIPALIDAD DISTRITAL DE PICHARI,CUSCO ,DISTRITO,"27,234","1,508,692","1,852,094",64.10,"1,187,779"
200107-301532: MUNICIPALIDAD DISTRITAL DE CURA MORI,PIURA,DISTRITO,"18,552","15,000","1,035,600",64.00,"662,771"
110304-300988: MUNICIPALIDAD DISTRITAL DE MARCONA,ICA,DISTRITO,"18,046",0,"2,182,104",62.60,"1,366,654"
130808-301183: MUNICIPALIDAD DISTRITAL DE PARCOY,LA LIBERTAD,DISTRITO,"21,147",0,"8,904,465",62.30,"5,545,160"
090103-300794: MUNICIPALIDAD DISTRITAL DE ACORIA,HUANCAVELICA,DISTRITO,"17,056","1,827,536","3,851,668",60.10,"2,315,977"
050501-300471: MUNICIPALIDAD PROVINCIAL DE LA MAR - SAN MIGUEL,AYACUCHO,PROVINCIA,"75,277","388,000","1,877,226",57.70,"1,082,883"
110106-300965: MUNICIPALIDAD DISTRITAL DE PARCONA,ICA,DISTRITO,"60,173","674,874","2,879,977",57.40,"1,654,011"
130104-301130: MUNICIPALIDAD DISTRITAL DE HUANCHACO,LA LIBERTAD,DISTRITO,"87,192","641,261","1,196,789",52.60,"629,052"
060101-300549: MUNICIPALIDAD PROVINCIAL DE CAJAMARCA,CAJAMARCA,PROVINCIA,"388,170","21,000","756,696",48.70,"368,838"
040102-300332: MUNICIPALIDAD DISTRITAL DE ALTO SELVA ALEGRE,AREQUIPA,DISTRITO,"88,537","3,162,778","4,536,011",44.90,"2,038,695"
040109-300339: MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR,AREQUIPA,DISTRITO,"64,442","89,682","1,610,030",41.20,"663,186"
060401-300578: MUNICIPALIDAD PROVINCIAL DE CHOTA,CAJAMARCA,PROVINCIA,"151,714","1,178,861","3,655,304",40.00,"1,461,318"
150103-301252: MUNICIPALIDAD DISTRITAL DE ATE - VITARTE,LIMA,DISTRITO,"670,818","4,310,250","13,809,472",29.20,"4,039,089"
200115-301849: MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE,PIURA,DISTRITO,"163,664",0,"1,043,224",24.50,"255,832"
060801-300623: MUNICIPALIDAD PROVINCIAL DE JAEN,CAJAMARCA,PROVINCIA,"106,009","90,480","1,556,810",22.40,"348,944"
060601-300605: MUNICIPALIDAD PROVINCIAL DE CUTERVO,CAJAMARCA,PROVINCIA,"123,948",0,"2,569,035",21.00,"540,030"
070106-300682: MUNICIPALIDAD DISTRITAL DE VENTANILLA,CALLAO,DISTRITO,"369,618","2,982,014","14,304,252",19.60,"2,798,720"
250105-301820: MUNICIPALIDAD DISTRITAL DE YARINACOCHA,UCAYALI,DISTRITO,"118,666","1,909,330","2,174,394",13.00,"281,997"
140105-301216: MUNICIPALIDAD DISTRITAL DE JOSE LEONARDO ORTIZ,LAMBAYEQUE,DISTRITO,"165,355","1,061,220","2,126,633",12.50,"266,131"
021801-300224: MUNICIPALIDAD PROVINCIAL DEL SANTA - CHIMBOTE,ANCASH,PROVINCIA,"474,053","18,244,360","16,672,772",6.40,"1,059,496"
150140-301289: MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO,LIMA,DISTRITO,"408,086","5,459,714","5,546,041",3.30,"182,206"
010202-300023: MUNICIPALIDAD DISTRITAL DE ARAMANGO,AMAZONAS,DISTRITO,"10,149",0,"42,000",100.00,"42,000"
010301-300028: MUNICIPALIDAD PROVINCIAL DE BONGARA - JUMBILLA,AMAZONAS,PROVINCIA,"26,830",0,"15,300",100.00,"15,300"
020503-300112: MUNICIPALIDAD DISTRITAL DE ANTONIO RAYMONDI,ANCASH,DISTRITO,"13,950",0,"9,500",100.00,"9,500"
